CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Sensores,Lm35 Sensor De Temperatura (Referencia E1-02W),40,Nan,https://www.vistronica.com/sensores/temperatura/lm35-sensor-de-temperatura-detail.html,
Sensores,Sensor De Efecto Hall A3144,15,Nan,https://www.vistronica.com/sensores/proximidad-y-distancia/sensor-de-efecto-hall-a3144-detail.html,
Sensores,Sensor De Efecto Hall Hal830Ut-A,14,Nan,SIN ENLACE DE REFERENCIA,
Sensores,Sensor De Humedad Hs1101,5,Nan,https://www.vistronica.com/sensores/sensor-de-humedad-relativa-hs1101-detail.html,
Sensores,Sensor De Presion Mpx10Dp,19,Nan,https://www.vistronica.com/sensores/presion/sensor-de-presion-mpx10dp-detail.html,
Sensores,Sensor De Presión 0-40Kpa,10,Nan,https://www.vistronica.com/sensores/presion/sensor-de-presion-mps20n0040d-detail.html,
Sensores,Sensor De Tensión Bf350-3Aa Flexible,15,Nan,SIN ENLACE DE REFERENCIA,
Sensores,Sensor De Ultrasonido Hc-Sr04 Arduino,50,Nan,https://www.didacticaselectronicas.com.co/shop/hc-sr04-sensor-de-distancia-ultrasonico-2-450cm-2264#attr=,
Sensores,Sensor De Vibración En Board,15,Nan,SIN ENLACE DE REFERENCIA,
Sensores,Sensor Fotoelectrico Cny70,15,Nan,https://www.vistronica.com/sensores/sensor-cny70-detail.html,
Sensores,Sensor Mpx5050Gp ,2,Nan,https://www.vistronica.com/#q=Sensor%20MPX5050GP%20&from_user=&page=0&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Sensores,Sensor Óptico Reflexivo Qrd1114,25,Nan,https://www.vistronica.com/sensores/proximidad-y-distancia/sensor-optico-reflexivo-qrd1114-detail.html,
Sensores,Cny70 Sensor Óptico Reflectivo,30,Nan,https://www.didacticaselectronicas.com.co/shop/hc-sr04-sensor-de-distancia-ultrasonico-2-450cm-2264#attr=,
Sensores,Sensor De Temperatura A Prueba De Agua Ds18B20,6,Nan,https://www.vistronica.com/sensores/temperatura/sensor-de-temperatura-a-prueba-de-agua-ds18b20-detail.html,
Sensores,"Sensor Flex Sensor Flexión 2,2''",5,Nan,https://www.didacticaselectronicas.com.co/shop/sen-10264-sensor-flexion-22-1903#attr=,
Servomotor ,Servomotor Ds3225,0,Nan,https://www.vistronica.com/robotica/motores/servomotores/servomotor-sr-1501mg-pinones-metalicos-180-grados-detail.html,
Servomotor ,Servomotor Futaba S3003 (Referencia Ca-04E-1),18,Nan,https://www.vistronica.com/robotica/motores/servomotores/servomotor-futaba-s3003-detail.html,
Servomotor ,Servomotor Mg995 Piñoneria Metálica 360° Rotación Continua,8,Nan,https://www.vistronica.com/robotica/motores/servomotor-mg995-pinoneria-metalica-360-rotacion-continua-detail.html,
Servomotor ,Servomotor Rotación Continua 4.8-7.2V 13Kg/Cm,10,Nan,https://didacticaselectronicas.com/index.php/elementos-electromecanicos/motores-y-solenoides-1/servomotores-1/mg995-rc-detail,
Soldadura,Soldadura De Estaño A 60%  250 Gr - Diametro 0.7 Mm,1,Nan,SIN ENLACE DE REFERENCIA,
Soldadura,Pasta Para Soldar De 8G La Única,5,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/soldadura-flux-1/fundente/ps-08-detail,
Soldadura,Malla Desoldadora 2.1Mm Zd-181-1,2,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/extractores/zd-181-1-detail,
Soldadura,Tercera Mano Para Circuitos Impresos,1,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/otros-accesorios-1/soportes-y-tercera-mano/zd-11e-detail,
Soldadura,Cautín Tipo Pinza Zd409,1,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/cautines-1/zd409-detail,
Soldadura,Extractor De Soldadura Zd808,3,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/extractores/zd-808-detail,
Soldadura,Tapete Aislante De Calor Para Estación De Soldadura S140,1,Nan,https://didacticaselectronicas.com/index.php/equipos-de-instrumentacion/para-soldar-1/otros-accesorios-1/tapetes/s140-detail,
Soporte,Soporte De Fijación O Holder Para Batería 18650,30,Nan,https://www.vistronica.com/#q=bateria&from_user=&page=0&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Soporte,Soporte De Fijación O Holder Para Baterías 18650 3X1,10,Nan,https://www.vistronica.com/baterias/porta-baterias-/soporte-de-fijacion-o-holder-para-baterias-18650-3x1-detail.html,
Switch,Switch Balancín Pequeño 2 Pines 2 Posiciones - 6A,5,Nan,SIN ENLACE DE REFERENCIA,
Temporizador,Temporizador Ne555,80,Nan,SIN ENLACE DE REFERENCIA,
Temporizador,Temporizador Ne555 (Referencia E9-07A-2),70,Nan,SIN ENLACE DE REFERENCIA,
Temporizador,Termistor Mf52-103-Ntc / 3950,20,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 2Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 3Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 4Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 5Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 6Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 7Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 8Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 9Mm,6,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 15Mm,5,Nan,SIN ENLACE DE REFERENCIA,
Termoencogible,Termoencogible Color Negro De 20Mm,4,Nan,SIN ENLACE DE REFERENCIA,
Termometro Digital,Termómetro Digital De Alta Precisión To-92,5,Nan,https://www.didacticaselectronicas.com.co/shop/ds18s20-termometro-digital-de-alta-precision-to-92-1093?search=Term%C3%B3metro+digital+de+alta+precisi%C3%B3n+TO-92&order=name+asc#attr=,
Termometro Digital,Termómetro Digital,2,Nan,https://www.didacticaselectronicas.com.co/shop/ter-digital-termometro-digital-3031?search=Term%C3%B3metro+digital&order=name+asc#attr=,
Termometro Digital,Termometro Tipo Nevera -50°,0,Nan,SIN ENLACE DE REFERENCIA,
Tip,Tip42C Transistor De Potencia Pnp To-220 Insercion,70,Nan,SIN ENLACE DE REFERENCIA,
Transformador,Transformador Ref: M-1; 115Vac - 12Vac,3,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor  Mosfet Irf 820,18,Nan,https://www.didacticaselectronicas.com.co/shop/irf820pbf-transistor-mosfet-canal-n-500v-2-5a-irf820-16213?search=TRANSISTOR++MOSFET+IRF+820&order=name+asc#attr=,
Transistor,Transistor 2N3904  Npn  (Referencia E1-03D),380,Nan,https://www.didacticaselectronicas.com.co/shop/2n3904-transistor-npn-40v-200ma-to-92-581?search=Transistor+2N3904++NPN++&order=name+asc#attr=,
Transistor,Transistor Bjt 2N3906 Bipolar Pnp ,390,Nan,https://www.vistronica.com/componentes-activos/transistores/transistor-pnp-2n3906-detail.html,
Transistor,Transistor Mosfet Canal N 200V  33A Irpf250,20,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor Mosfet Canal P 100V  12A Irf9530,20,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor Tip 31C,75,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor Tip 32 C,50,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor Tip41C  (Referencia E1-05W),90,Nan,SIN ENLACE DE REFERENCIA,
Transistor,Transistor 2N2222,50,Nan,https://www.didacticaselectronicas.com.co/shop/2n2222-transistor-npn-40v-600ma-to-92-583?search=Transistor+2N2222&order=name+asc#attr=,
Transistor,Transistor 60T65Pes,10,Nan,SIN ENLACE DE REFERENCIA,
Triac,Triac Bt136,20,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer Vertical De 1K Ohm,20,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer 5 K Ohms,10,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer 10K Ohms,20,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer 20K Ohms,6,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer Vertical De 50K Ohm,20,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer 100K Ohms,5,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer 200K Ohms,19,Nan,SIN ENLACE DE REFERENCIA,
Trimmer,Trimmer Vertical De 500 Kohm,5,Nan,SIN ENLACE DE REFERENCIA,
Ventilador,Ventilador 12V 180Ma 90X90X25Mm,5,Nan,https://didacticaselectronicas.com/index.php/elementos-electromecanicos/ventiladores/ventiladores-12v/vn-4051-detail,
Voltiamperímetro,Voltiamperímetro 7 Seg Rojo/Azul 0V-100V Dc/0A-10A Dc,4,Nan,https://www.vistronica.com/#q=display%20voltimetro&from_user=&page=2&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Aerosol,Limpiador Electronico,5,Nan,SIN ENLACE DE REFERENCIA,
Aerosol,Pintura Todo Proposito,1,Nan,SIN ENLACE DE REFERENCIA,
Aerosol,Limpiador Espumoso,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable De Presion Sanguinea,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable De Spo2,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Programador Usb,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable De Glucometro,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable De Espirometro,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Electrodos Ecg Covidien,0,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Electrodos Ecg Mysignals Ref: F-55,18,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Pruebas Glucometro,21,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Tarjeta De Codigo Glucometro,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Glucometro (Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Espirometro (Spirometer ),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Filtro Espirometro,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Spo2 (Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Presion Sanguinea (Blood Pressure),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Posicion Del Cuerpo (Body Positions),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Flujo De Aire (Airflow),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Ronquido (Snore),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor (Galvanic Skinresponse),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Temperatura Del Cuerpo,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Electromiogafia,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Boquilla Desechable,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor De Temperatura De Cuerpo (Body Temperature ),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor Flujo De Aire (Airflow),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Espirometro (Spirometer),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor Galvanico De Piel (Gsr) (Galvanic Skin Response),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor Electromiografia ,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor Ronquido (Snore),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Sensor Electrocardiografia (Electrocardiography),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Boton De Alarma Alarm Button Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Presion Sanguinea,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Glucometro (Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Spo2 (Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Posicion Del Cuerpo (Body Position),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Banda Elastica,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cable Presion Sanguinea (Blood Pressure),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Temperatura Del Cuerpo (Body Temperature Ble),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Pruebas Glucometro,25,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Tarjeta De Codigo Glucometro,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Sensor Espirometro (Spirometer),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Oculus Rift S,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Oculus Quest 2,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Brazalete Myo + Cable Usb + 2 Conectores + 10 Ganchos, Bf-B5",1,En El Bosque,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Placa My Signals H00224, Cargador 7V-2.85A + Cable Ac + Lapiz Tactil",1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Boligrafo Indicador De Polaridad Ax002N (Punta Logica),8,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Pinzas Amperimetricas Amprobe. Sn: 12110235; 12110229; 12110233;
180400171; 180400179; 180400166; 180400176; 180400177; 180400173;
170800499.",10,Se Encuentran En Los Locker Del Centro De Estudios ,SIN ENLACE DE REFERENCIA,
Sin Categoria,Pelacables Pro'Skit Ref: Cp-108 = 5 Un. Y Marca Talon = 10 Un.,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Placa Heart Monitor Ad8232 + Cables 3 Electrodos : 11 Unidades,7,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Termocupla--Accesorio Multimetro,10,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Detector De Voltaje Fluke,10,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Panel De Señalizacion En Español, Osciloscopio",10,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Proteccion Puntas Multimetro Color Negro Y Rojo,19,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Cables Bnc A Bnc Generador De Señales,20,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Placa Bluetooth Hc05 (Zs-040),3,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Pinza 376 Fc Fluke,1,Esta En El Locker De Centro De Estudios,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Mototool Dremel 3000, Eje Flexible Modelo 225 + 2 Aditamientos + 30
Accesorios + 7 Puntas-Brocas Mototool",1,Nan,SIN ENLACE DE REFERENCIA,Bosque
Sin Categoria,"Kit De Herramientas Electronicas Proskit Pk 15307 Incluye:
Kit De Herramientas Electronicas,Alicates De Punta Larga 135Mm, Alicate De Corte Diagonal 110 Mm, Alicate De Liniero Doble Color 210 Mm Alicates De Punta Larga De Color Doble 165 
Conjunto De Flete De Aguja 5 Piezas , Ceramica Soldador 110 V, 
31 2 Mutimetro Digital Compacto Cinta Metrica 3M 10Ft, Nucleo 
De Soldadura 63% Sn, Juego De Llaves Hexagonaes 7Pcs, Cortador De 
Pelacables, Cuchillo, Recortador Multiuso,Herramientas De 
Ayuda De Soldadura, Bomba Desoldadora, Llave Combinada
Electronica De 10 Piezas Botella Fundente",1,Nan,SIN ENLACE DE REFERENCIA,Incompleta
Sin Categoria,"Estacion Soldadora De Soldadura 8007-0454 Referencia: 
Mbt 350 Incluye : 6 Puntas; Sn:N00035125",1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Placa My Signals H00265, Cargador 7V-2.85A + Cable Ac + Lapiz Tactil",1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Compra De Cpld,9,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Gafas De Protección,2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Diadema Emotiv Epoc+, Cable Usb + 2 Cajas De Sensores:16 Unidades C/U, + Usb+ Tarro Biotrue Caja N°2",2,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,"Camaras De Video Canon, Ref: Vixia Hf R800 + Cargador Canon De 5.3V + Cable Usb + Cable 
Cable Hdmi + Bateria Li-Ion Canon + Manual Usuario. Sn: N00037104; N00037103.",1,Nan,SIN ENLACE DE REFERENCIA,Fallando
Sin Categoria,Pistola Sopladora/Aspiradora,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Boquilla Para Impresora 3D,10,Nan,SIN ENLACE DE REFERENCIA,No son compatibles con ninguna de las dos impresora que se tienen
Sin Categoria,Llaves Bristol: 6Mm; 5Mm; 4Mm; 3Mm; 2.5Mm; 2Mm; 1.5Mm,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Soporte Para Cautin Con Lupa Zd10Mb,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Estación De Trabajo Dremel 220 A,1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Caja De Accesorios Mototool,1,Nan,SIN ENLACE DE REFERENCIA,Bosque
Sin Categoria,Cautin Para Soldar ( 2 Marcas Weller),1,Nan,SIN ENLACE DE REFERENCIA,
Sin Categoria,Brazo Estabilizador De Celular Dji Om 4,1,Nan,SIN ENLACE DE REFERENCIA,Se le presto al ing. alejandro
